host,app,status
S-DC-EXC0302,OAB,ok
S-DC-EXC0302,Services,ok
S-DC-EXC0302,Replication,ok
S-DC-EXC0302,MRS,ok
S-DC-EXC0302,MAPI-Connectivity,ok
S-DC-EXC0302,Maintenance,ok
S-DC-EXC0302,Active DBs,ok
S-DC-EXC0302,Passive DBs,ok
S-DC-EXC0302,Disks,ok
S-DC-EXC0302,BitLocker,ok
S-DC-EXC0302,Anti-Malware,ok
S-DC-EXC0302,PendingReboot,ok
S-DC-EXC0303,OWA,ok
S-DC-EXC0303,MAPI,ok
S-DC-EXC0303,RPC,ok
S-DC-EXC0303,Autodiscover,ok
S-DC-EXC0303,Powershell,ok
S-DC-EXC0303,EWS,ok
S-DC-EXC0303,ECP,ok
S-DC-EXC0303,OAB,ok
S-DC-EXC0303,Services,ok
S-DC-EXC0303,Replication,ok
S-DC-EXC0303,MRS,ok
S-DC-EXC0303,MAPI-Connectivity,ok
S-DC-EXC0303,Maintenance,ok
S-DC-EXC0303,Active DBs,ok
S-DC-EXC0303,Passive DBs,ok
S-DC-EXC0303,Disks,ok
S-DC-EXC0303,BitLocker,ok
S-DC-EXC0303,Anti-Malware,ok
S-DC-EXC0303,PendingReboot,ok
S-DC-EXC0304,OWA,ok
S-DC-EXC0304,MAPI,ok
S-DC-EXC0304,RPC,ok
S-DC-EXC0304,Autodiscover,ok
S-DC-EXC0304,Powershell,ok
S-DC-EXC0304,EWS,ok
S-DC-EXC0304,ECP,ok
S-DC-EXC0304,OAB,ok
S-DC-EXC0304,Services,no
S-DC-EXC0304,Replication,ok
S-DC-EXC0304,MRS,ok
S-DC-EXC0304,MAPI-Connectivity,ok
S-DC-EXC0304,Maintenance,ok
S-DC-EXC0304,Active DBs,ok
S-DC-EXC0304,Passive DBs,ok
S-DC-EXC0304,Disks,ok
S-DC-EXC0304,BitLocker,ok
S-DC-EXC0304,Anti-Malware,ok
S-DC-EXC0304,PendingReboot,ok
S-DC-EXC0305,OWA,ok
S-DC-EXC0305,MAPI,ok
S-DC-EXC0305,RPC,ok
S-DC-EXC0305,Autodiscover,no
S-DC-EXC0305,Powershell,ok
S-DC-EXC0305,EWS,ok
S-DC-EXC0305,ECP,no
S-DC-EXC0305,OAB,ok
S-DC-EXC0305,Services,ok
S-DC-EXC0305,Replication,ok
S-DC-EXC0305,MRS,ok
S-DC-EXC0305,MAPI-Connectivity,ok
S-DC-EXC0305,Maintenance,ok
S-DC-EXC0305,Active DBs,ok
S-DC-EXC0305,Passive DBs,ok
S-DC-EXC0305,Disks,ok
S-DC-EXC0305,BitLocker,ok
S-DC-EXC0305,Anti-Malware,ok
S-DC-EXC0305,PendingReboot,ok
S-DC-EXC0306,OWA,ok
S-DC-EXC0306,MAPI,ok
S-DC-EXC0306,RPC,ok
S-DC-EXC0306,Autodiscover,ok
S-DC-EXC0306,Powershell,ok
S-DC-EXC0306,EWS,ok
S-DC-EXC0306,ECP,ok
S-DC-EXC0306,OAB,ok
S-DC-EXC0306,Services,ok
S-DC-EXC0306,Replication,ok
S-DC-EXC0306,MRS,ok
S-DC-EXC0306,MAPI-Connectivity,ok
S-DC-EXC0306,Maintenance,ok
S-DC-EXC0306,Active DBs,ok
S-DC-EXC0306,Passive DBs,ok
S-DC-EXC0306,Disks,ok
S-DC-EXC0306,BitLocker,ok
S-DC-EXC0306,Anti-Malware,ok
S-DC-EXC0306,PendingReboot,ok
S-DC-EXC0307,OWA,ok
S-DC-EXC0307,MAPI,no
S-DC-EXC0307,RPC,ok
S-DC-EXC0307,Autodiscover,ok
S-DC-EXC0307,Powershell,ok
S-DC-EXC0307,EWS,ok
S-DC-EXC0307,ECP,ok
S-DC-EXC0307,OAB,ok
S-DC-EXC0307,Services,ok
S-DC-EXC0307,Replication,ok
S-DC-EXC0307,MRS,ok
S-DC-EXC0307,MAPI-Connectivity,ok
S-DC-EXC0307,Maintenance,ok
S-DC-EXC0307,Active DBs,ok
S-DC-EXC0307,Passive DBs,ok
S-DC-EXC0307,Disks,ok
S-DC-EXC0307,BitLocker,ok
S-DC-EXC0307,Anti-Malware,ok
S-DC-EXC0307,PendingReboot,ok
S-DC-EXC0308,OWA,ok
S-DC-EXC0308,MAPI,ok
S-DC-EXC0308,RPC,ok
S-DC-EXC0308,Autodiscover,ok
S-DC-EXC0308,Powershell,no
S-DC-EXC0308,EWS,ok
S-DC-EXC0308,ECP,ok
S-DC-EXC0308,OAB,ok
S-DC-EXC0308,Services,ok
S-DC-EXC0308,Replication,ok
S-DC-EXC0308,MRS,ok
S-DC-EXC0308,MAPI-Connectivity,no
S-DC-EXC0308,Maintenance,ok
S-DC-EXC0308,Active DBs,ok
S-DC-EXC0308,Passive DBs,ok
S-DC-EXC0308,Disks,ok
S-DC-EXC0308,BitLocker,ok
S-DC-EXC0308,Anti-Malware,ok
S-DC-EXC0308,PendingReboot,no
S-DC-EXC0401,OWA,ok
S-DC-EXC0401,MAPI,ok
S-DC-EXC0401,RPC,ok
S-DC-EXC0401,Autodiscover,no
S-DC-EXC0401,Powershell,ok
S-DC-EXC0401,EWS,ok
S-DC-EXC0401,ECP,ok
S-DC-EXC0401,OAB,ok
S-DC-EXC0401,Services,ok
S-DC-EXC0401,Replication,ok
S-DC-EXC0401,MRS,ok
S-DC-EXC0401,MAPI-Connectivity,ok
S-DC-EXC0401,Maintenance,ok
S-DC-EXC0401,Active DBs,ok
S-DC-EXC0401,Passive DBs,ok
S-DC-EXC0401,Disks,ok
S-DC-EXC0401,BitLocker,ok
S-DC-EXC0401,Anti-Malware,ok
S-DC-EXC0401,PendingReboot,ok
S-DC-EXC0402,OWA,ok
S-DC-EXC0402,MAPI,ok
S-DC-EXC0402,RPC,ok
S-DC-EXC0402,Autodiscover,ok
S-DC-EXC0402,Powershell,ok
S-DC-EXC0402,EWS,ok
S-DC-EXC0402,ECP,ok
S-DC-EXC0402,OAB,ok
S-DC-EXC0402,Services,ok
S-DC-EXC0402,Replication,ok
S-DC-EXC0402,MRS,ok
S-DC-EXC0402,MAPI-Connectivity,no
S-DC-EXC0402,Maintenance,ok
S-DC-EXC0402,Active DBs,ok
S-DC-EXC0402,Passive DBs,ok
S-DC-EXC0402,Disks,ok
S-DC-EXC0402,BitLocker,ok
S-DC-EXC0402,Anti-Malware,ok
S-DC-EXC0402,PendingReboot,ok
S-DC-EXC0403,OWA,ok
S-DC-EXC0403,MAPI,ok
S-DC-EXC0403,RPC,ok
S-DC-EXC0403,Autodiscover,no
S-DC-EXC0403,Powershell,ok
S-DC-EXC0403,EWS,ok
S-DC-EXC0403,ECP,ok
S-DC-EXC0403,OAB,no
S-DC-EXC0403,Services,ok
S-DC-EXC0403,Replication,ok
S-DC-EXC0403,MRS,ok
S-DC-EXC0403,MAPI-Connectivity,ok
S-DC-EXC0403,Maintenance,ok
S-DC-EXC0403,Active DBs,no
S-DC-EXC0403,Passive DBs,ok
S-DC-EXC0403,Disks,ok
S-DC-EXC0403,BitLocker,ok
S-DC-EXC0403,Anti-Malware,no
S-DC-EXC0403,PendingReboot,ok
S-DC-EXC0404,OWA,ok
S-DC-EXC0404,MAPI,ok
S-DC-EXC0404,RPC,ok
S-DC-EXC0404,Autodiscover,ok
S-DC-EXC0404,Powershell,ok
S-DC-EXC0404,EWS,ok
S-DC-EXC0404,ECP,ok
S-DC-EXC0404,OAB,ok
S-DC-EXC0404,Services,ok
